Question_ID,Year,Q No,Subject,Topic,Difficulty,Question_Type,Static_Current
1,2023,1,Geography,Rivers & Lakes,Medium,Conceptual,Static
2,2023,2,Geography,Ports,Medium,Factual,Static
3,2023,3,Environment,Forest Ecology,Easy,Factual,Static
4,2023,4,Geography,Agriculture,Medium,Analytical,Static
5,2023,5,Geography,Coastal Landforms,Hard,Conceptual,Static
6,2023,6,Geography,Mineral Resources,Easy,Factual,Static
7,2023,7,Geography,World Mineral Distribution,Easy,Factual,Current
8,2023,8,Geography,Congo Basin,Easy,Factual,Static
9,2023,9,Geography,Indian Physiography,Hard,Conceptual,Static
10,2023,10,Geography,Connectivity Corridors,Medium,Analytical,Current
11,2023,11,Science & Technology,Nuclear Energy,Medium,Conceptual,Static
12,2023,12,Environment,Marsupials,Easy,Factual,Static
13,2023,13,Environment,IUCN & Invasive Species,Medium,Factual,Current
14,2023,14,Environment,Wildlife Species,Medium,Factual,Static
15,2023,15,Science & Technology,Animal Behaviour,Easy,Factual,Static
16,2023,16,Science & Technology,Fungi & Mushrooms,Medium,Conceptual,Static
17,2023,17,Environment,Indian Squirrels,Medium,Conceptual,Static
18,2023,18,Science & Technology,Extremophiles,Medium,Conceptual,Static
19,2023,19,Science & Technology,Animal Intelligence,Easy,Factual,Static
20,2023,20,Environment,Hydrofluorocarbons,Medium,Conceptual,Current
21,2023,21,Economy,InVITs,Hard,Analytical,Current
22,2023,22,Economy,Monetary Policy & Inflation,Medium,Conceptual,Current
23,2023,23,Environment,Carbon Markets,Medium,Conceptual,Current
24,2023,24,Economy,RBI Monetary Operations,Hard,Conceptual,Static
25,2023,25,Economy,Capital Market,Medium,Conceptual,Static
26,2023,26,Economy,Agriculture Models,Hard,Analytical,Current
27,2023,27,Economy,Oilseeds & MSP,Medium,Factual,Current
28,2023,28,Economy,Intangible Assets,Medium,Conceptual,Static
29,2023,29,Economy,Finance Commission,Hard,Factual,Current
30,2023,30,Economy,Infrastructure Investment,Medium,Factual,Current
31,2023,31,Polity,Due Process of Law,Medium,Conceptual,Static
32,2023,32,Polity,Prison Administration,Medium,Conceptual,Static
33,2023,33,Polity,Constitution Theory,Easy,Conceptual,Static
34,2023,34,Polity,Constitutional Amendments,Medium,Analytical,Static
35,2023,35,Polity,Constitutional Bodies,Medium,Factual,Static
36,2023,36,Polity,President of India,Hard,Conceptual,Static
37,2023,37,Polity,Finance Bill & Money Bill,Hard,Conceptual,Static
38,2023,38,Environment,Community Reserve,Medium,Conceptual,Current
39,2023,39,Polity,Scheduled Areas,Hard,Conceptual,Static
40,2023,40,Polity,Reservation & Article 335,Hard,Analytical,Static
41,2023,41,History,Buddhism,Medium,Factual,Static
42,2023,42,History,Buddhist Architecture,Medium,Conceptual,Static
43,2023,43,History,Sangam Age Ports,Medium,Factual,Static
44,2023,44,History,Sangam Age (Vattakirutal),Medium,Factual,Static
45,2023,45,History,Medieval Indian Dynasties,Hard,Analytical,Static
46,2023,46,History,Ancient Indian Literature & Authors,Hard,Match The Following,Static
47,2023,47,History,Jain Philosophy,Medium,Conceptual,Static
48,2023,48,History,Vijayanagara Empire,Medium,Factual,Static
49,2023,49,History,Medieval Gujarat & Portuguese,Medium,Factual,Static
50,2023,50,History,Charter Act 1833 & Governor General,Easy,Factual,Static
51,2023,51,History,Revolt of 1857 / Colonial India,Medium,Conceptual,Static
52,2023,52,History,Social & Religious Reform Movements,Medium,Conceptual,Static
53,2023,53,History,Freedom Struggle Personalities,Medium,Factual,Static
54,2023,54,History,Gandhian Movements,Medium,Analytical,Static
55,2023,55,History,Constitutional Development under British Rule,Hard,Analytical,Static
56,2023,56,History,Indian National Congress Sessions,Medium,Factual,Static
57,2023,57,History,Revolutionary Movements,Medium,Factual,Static
58,2023,58,History,Modern Indian Leaders & Organizations,Medium,Match The Following,Static
59,2023,59,History,Freedom Struggle Events,Hard,Analytical,Static
60,2023,60,Art & Culture,Indian Architecture,Medium,Conceptual,Static
61,2023,61,Geography,Climatic Regions & Monsoon,Medium,Conceptual,Static
62,2023,62,Geography,Oceanography,Hard,Analytical,Static
63,2023,63,Environment,Biodiversity Conservation,Medium,Conceptual,Current
64,2023,64,Environment,Ramsar Sites & Wetlands,Medium,Factual,Current
65,2023,65,Geography,Earthquakes & Plate Tectonics,Hard,Conceptual,Static
66,2023,66,Geography,Indian Agriculture,Medium,Analytical,Current
67,2023,67,Economy,Food Processing Industry,Medium,Analytical,Current
68,2023,68,Science & Technology,Biotechnology,Hard,Conceptual,Current
69,2023,69,Science & Technology,Space Technology,Medium,Factual,Current
70,2023,70,Science & Technology,Artificial Intelligence & Computing,Medium,Conceptual,Current
71,2023,71,Science & Technology,Semiconductor Technology,Hard,Conceptual,Current
72,2023,72,Science & Technology,Quantum Technology,Hard,Conceptual,Current
73,2023,73,Science & Technology,Communication Technology,Medium,Analytical,Current
74,2023,74,Science & Technology,Green Hydrogen,Medium,Conceptual,Current
75,2023,75,Science & Technology,Space Technology & Satellites,Medium,Factual,Current
76,2023,76,Science & Technology,Cyber Security,Medium,Conceptual,Current
77,2023,77,Environment,Climate Change,Medium,Conceptual,Current
78,2023,78,Environment,Carbon Sequestration,Medium,Analytical,Current
79,2023,79,Environment,Protected Areas,Medium,Factual,Current
80,2023,80,Environment,Species Conservation,Medium,Factual,Current
81,2023,81,Geography,World Geography,Hard,Analytical,Static
82,2023,82,Geography,Climatology,Medium,Conceptual,Static
83,2023,83,Geography,Economic Geography,Medium,Analytical,Static
84,2023,84,Geography,Resources Distribution,Medium,Factual,Static
85,2023,85,Geography,Indian Geography,Medium,Analytical,Static
86,2023,86,Polity,Governance & Public Policy,Medium,Conceptual,Current
87,2023,87,Polity,Constitutional Provisions,Hard,Analytical,Static
88,2023,88,Polity,Local Governance,Medium,Conceptual,Static
89,2023,89,Polity,Rights & Duties,Medium,Conceptual,Static
90,2023,90,Polity,Judiciary,Hard,Analytical,Static
91,2023,91,Economy,Banking & Finance,Medium,Conceptual,Current
92,2023,92,Economy,External Sector,Hard,Analytical,Current
93,2023,93,Economy,Inflation & Monetary Policy,Medium,Conceptual,Current
94,2023,94,Economy,Fiscal Policy,Medium,Analytical,Current
95,2023,95,Economy,Government Schemes,Easy,Factual,Current
96,2023,96,Economy,Agriculture Economics,Medium,Analytical,Current
97,2023,97,Environment,International Environmental Agreements,Medium,Factual,Current
98,2023,98,Environment,Biodiversity,Medium,Conceptual,Current
99,2023,99,Environment,Sustainable Development,Medium,Analytical,Current
100,2023,100,Environment,Climate Governance,Medium,Conceptual,Current
101,2024,1,Environment,Climate Change,Medium,Statement Based,Current
102,2024,2,Environment,Ocean Currents,Medium,Statement Based,Static
103,2024,3,Geography,Volcanism,Easy,Factual,Static
104,2024,4,Geography,Climatology,Medium,Analytical,Static
